Team,Team3,Team4,
Abilene Christian,ABC,ABIL,
Air Force,AIR,AFRC,
Akron,AKR,AKRN,
Alabama,UAL,ALAB,
Alabama A&M,AAM,ALAM,
Alabama State,ALS,ALST,
Alabama-Birmingham,UAB,ALBR,
Albany,ABN,ALBN,
Alcorn State,ALC,ALCR,
American,AME,AMER,
Appalachian State,APP,APST,
Arizona,UAZ,ARIZ,
Arizona State,AZS,AZST,
Arkansas,UAR,ARKN,
Arkansas State,ARS,ARST,
Arkansas-Little Rock,ALR,ARLR,
Arkansas-Pine Bluff,APB,ARPB,
Army,ARM,ARMY,
Auburn,AUB,AUBR,
Austin Peay,APY,PEAY,
Ball State,BAL,BALL,
Baylor,BAY,BAYL,
Belmont,BEL,BELM,
Bethune-Cookman,BCC,BETH,
Binghamton,BIN,BING,
Boise State,BOI,BOIS,
Boston College,BSC,BOSC,
Boston University,BST,BOSU,
Bowling Green,BGS,BGRN,
Bradley,BRA,BRAD,
Brigham Young,BYU,BYNG,
Brown,BRO,BRWN,
Bryant,BRY,BRYA,
Bucknell,BUC,BUCK,
Buffalo,BUF,BUFF,
Butler,BUT,BUTL,
Cal Poly-San Luis Obispo,CPS,CPSL,
Cal State-Bakersfield,CSB,CSBF,
Cal State-Fullerton,CSF,FULL,
Cal State-Northridge,CSN,CSNO,
California,UCA,CALI,
California-Davis,CAD,CDAV,
California-Irvine,CAI,CIRV,
California-Los Angeles,CLA,UCLA,
California-Riverside,CRI,CRIV,
California-Santa Barbara,CAS,CASB,
Campbell,CAM,CAMP,
Canisius,CAN,CANI,
Central Arkansas,CAR,CARK,
Central Connecticut State,CCT,CCON,
Central Florida,CFL,CFLA,
Central Michigan,CMI,CMIC,
Charleson Southern,CHS,CHSO,
Chicago State,CHI,CHIS,
Cincinnati,CIN,CINC,
Citadel,CIT,CITA,
Clemson,CLE,CLEM,
Cleveland State,CLV,CLEV,
Coastal Carolina,COA,CCAR,
Colgate,CLG,COLG,
College of Charleson,COC,COFC,
Colorado,UCO,COLO,
Colorado State,COS,COST,
Columbia,COL,COLU,
Connecticut,UCT,CONN,
Coppin State,COP,COPP,
Cornell,COR,CORN,
Creighton,CRE,CREI,
Dartmouth,DAR,DART,
Davidson,DAV,DAVI,
Dayton,DAY,DAYT,
Delaware,UDE,DELA,
Delaware State,DES,DEST,
Denver,DEN,DENV,
DePaul,DEP,DEPL,
Detroit,DET,DETR,
Drake,DRA,DRAK,
Drexel,DRE,DREX,
Duke,DUK,DUKE,
Duquesne,DUQ,DUQU,
East Carolina,ECU,ECAR,
East Tennessee State,ETN,ETEN,
Eastern Illinois,EIL,EILL,
Eastern Kentucky,EKY,EKEN,
Eastern Michigan,EMI,EMIC,
Eastern Washington,EWA,EWAS,
Elon,ELO,ELON,
Evansville,EVA,EVAN,
Fairfield,FAI,FAIR,
Fairliegh Dickinson,FLD,FLDC,
Florida,UFL,FLOR,
Florida A&M,FAM,FLAM,
Florida Atlantic,FAU,FLAT,
Florida Gulf Coast,FGC,FLGC,
Florida International,FIU,FLIN,
Florida State,FLS,FLST,
Fordham,FOR,FORD,
