"season","player","team","age","position","games","games_started","targets","catches","yards","tds","fumbles"
2019,"Michael Thomas","NOR",26,"WR",16,15,185,149,1725,9,1
2019,"Christian McCaffrey","CAR",23,"RB",16,16,142,116,1005,4,1
2019,"Keenan Allen","LAC",27,"WR",16,16,149,104,1199,6,0
2019,"DeAndre Hopkins","HOU",27,"WR",15,15,150,104,1165,7,0
2019,"Julian Edelman","NWE",33,"WR",16,13,153,100,1117,6,3
2019,"Julio Jones","ATL",30,"WR",15,15,157,99,1394,6,1
2019,"Allen Robinson","CHI",26,"WR",16,15,154,98,1147,7,0
2019,"Travis Kelce","KAN",30,"TE",16,16,136,97,1229,5,1
2019,"Cooper Kupp","LAR",26,"WR",16,14,134,94,1161,10,3
2019,"Austin Ekeler","LAC",24,"RB",16,8,108,92,993,8,3
2019,"Tyler Boyd","CIN",25,"WR",16,15,148,90,1046,5,2
2019,"Darren Waller","OAK",27,"TE",16,16,117,90,1145,3,1
2019,"Robert Woods","LAR",27,"WR",15,15,139,90,1134,2,0
2019,"Zach Ertz","PHI",29,"TE",15,15,135,88,916,6,1
2019,"DJ Moore","CAR",22,"WR",15,15,135,87,1175,4,2
2019,"Chris Godwin","TAM",23,"WR",14,14,121,86,1333,9,0
2019,"George Kittle","SFO",26,"TE",14,14,107,85,1053,5,1
2019,"Davante Adams","GNB",27,"WR",12,12,127,83,997,5,2
2019,"Jarvis Landry","CLE",27,"WR",16,16,138,83,1174,6,0
2019,"Tyler Lockett","SEA",27,"WR",16,16,110,82,1057,8,1
2019,"Alvin Kamara","NOR",24,"RB",14,9,97,81,533,1,4
2019,"Tarik Cohen","CHI",24,"RB",16,11,104,79,456,3,3
2019,"Amari Cooper","DAL",25,"WR",16,16,119,79,1189,8,0
2019,"Jamison Crowder","NYJ",26,"WR",16,12,122,78,833,6,0
2019,"Leonard Fournette","JAX",24,"RB",15,15,100,76,522,0,1
2019,"Larry Fitzgerald","ARI",36,"WR",16,16,109,75,804,4,1
2019,"Austin Hooper","ATL",25,"TE",13,10,97,75,787,6,0
2019,"Odell Beckham","CLE",27,"WR",16,15,133,74,1035,4,1
